Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
169,2021-04-09,WSH,@,BUF,W,,Alex Ovechkin,35-204,727,Brenden Dillon,John Carlson,Dustin Tokarski,1,11:39,EV,,KeyBank Center
170,2021-04-08,WSH,,BOS,L,,Alex Ovechkin,35-203,726,John Carlson,T.J. Oshie,Jeremy Swayman,2,10:08,PP,,Capital One Arena
171,2021-04-04,WSH,@,NJD,W,,Alex Ovechkin,35-199,725,Nicklas Bäckström,Evgeny Kuznetsov,Mackenzie Blackwood,2,08:09,PP,,Prudential Center
172,2021-03-28,WSH,,NYR,W,,Alex Ovechkin,35-192,724,T.J. Oshie,Dmitry Orlov,Keith Kinkaid,2,12:29,EV,,Capital One Arena
173,2021-03-26,WSH,,NJD,W,,Alex Ovechkin,35-190,723,Evgeny Kuznetsov,T.J. Oshie,Scott Wedgewood,3,16:28,EV,,Capital One Arena
174,2021-03-26,WSH,,NJD,W,,Alex Ovechkin,35-190,722,Evgeny Kuznetsov,,Scott Wedgewood,1,05:58,EV,,Capital One Arena
175,2021-03-25,WSH,,NJD,W,,Alex Ovechkin,35-189,721,Daniel Sprong,John Carlson,Mackenzie Blackwood,2,07:15,EV,,Capital One Arena
176,2021-03-19,WSH,,NYR,W,,Alex Ovechkin,35-183,720,John Carlson,Zdeno Chára,Alexandar Georgiev,3,16:27,EV,,Capital One Arena
177,2021-03-19,WSH,,NYR,W,,Alex Ovechkin,35-183,719,Evgeny Kuznetsov,Justin Schultz,Alexandar Georgiev,3,13:18,EV,,Capital One Arena
178,2021-03-16,WSH,,NYI,W,,Alex Ovechkin,35-180,718,Justin Schultz,Nicklas Bäckström,Semyon Varlamov,2,15:24,PP,,Capital One Arena
179,2021-03-15,WSH,@,BUF,W,,Alex Ovechkin,35-179,717,Conor Sheary,,Carter Hutton,3,16:21,EV,,KeyBank Center
180,2021-03-13,WSH,@,PHI,W,,Alex Ovechkin,35-177,716,Nicklas Bäckström,John Carlson,Carter Hart,2,13:10,PP,,Wells Fargo Center
181,2021-03-11,WSH,@,PHI,W,,Alex Ovechkin,35-175,715,,,Brian Elliott,1,08:37,EV,,Wells Fargo Center
182,2021-03-07,WSH,@,PHI,W,,Alex Ovechkin,35-171,714,T.J. Oshie,Zdeno Chára,Carter Hart,2,15:11,EV,,Wells Fargo Center
183,2021-02-28,WSH,@,NJD,W,,Alex Ovechkin,35-164,713,Lars Eller,Nick Jensen,Mackenzie Blackwood,2,13:37,EV,,Prudential Center
184,2021-02-21,WSH,,NJD,W,,Alex Ovechkin,35-157,712,T.J. Oshie,Nicklas Bäckström,Aaron Dell,3,16:56,PP,,Capital One Arena
185,2021-02-07,WSH,,PHI,L,,Alex Ovechkin,35-143,710,Tom Wilson,Lars Eller,Carter Hart,1,11:11,PP,,Capital One Arena
186,2021-02-07,WSH,,PHI,L,,Alex Ovechkin,35-143,711,Nicklas Bäckström,Tom Wilson,Carter Hart,2,04:08,EV,,Capital One Arena
187,2021-02-04,WSH,@,NYR,L,,Alex Ovechkin,35-140,709,Nicklas Bäckström,,Igor Shesterkin,3,11:01,EV,,Madison Square Garden (IV)
188,2021-01-30,WSH,,BOS,W,OT,Alex Ovechkin,35-135,708,Nicklas Bäckström,John Carlson,Tuukka Rask,OT,00:28,EV,,Capital One Arena
189,2021-01-17,WSH,@,PIT,L,SO,Alex Ovechkin,35-122,707,Evgeny Kuznetsov,Tom Wilson,Casey DeSmith,1,14:24,EV,,PPG Paints Arena
190,2020-03-09,WSH,@,BUF,L,SO,Alex Ovechkin,34-174,706,Evgeny Kuznetsov,,Linus Ullmark,3,03:33,EV,,KeyBank Center
191,2020-03-05,WSH,@,NYR,L,OT,Alex Ovechkin,34-170,705,Ilya Kovalchuk,John Carlson,Alexandar Georgiev,3,19:17,EV,,Madison Square Garden (IV)
192,2020-03-05,WSH,@,NYR,L,OT,Alex Ovechkin,34-170,704,John Carlson,Nicklas Bäckström,Alexandar Georgiev,3,09:22,EV,,Madison Square Garden (IV)
193,2020-03-01,WSH,@,MIN,W,,Alex Ovechkin,34-166,702,John Carlson,Nicklas Bäckström,Alex Stalock,1,07:21,PP,,Xcel Energy Center
194,2020-03-01,WSH,@,MIN,W,,Alex Ovechkin,34-166,703,Evgeny Kuznetsov,Ilya Kovalchuk,Alex Stalock,1,10:59,EV,,Xcel Energy Center
195,2020-02-25,WSH,,WPG,W,SO,Alex Ovechkin,34-161,701,Evgeny Kuznetsov,Dmitry Orlov,Laurent Brossoit,1,01:55,EV,,Capital One Arena
196,2020-02-22,WSH,@,NJD,L,,Alex Ovechkin,34-158,700,Evgeny Kuznetsov,Nick Jensen,Mackenzie Blackwood,3,04:50,EV,,Prudential Center
197,2020-02-20,WSH,,MTL,L,OT,Alex Ovechkin,34-156,699,Nicklas Bäckström,,Carey Price,1,07:29,EV,,Capital One Arena
198,2020-02-04,WSH,,LAK,W,,Alex Ovechkin,34-140,696,T.J. Oshie,,Jonathan Quick,3,13:50,EV,,Capital One Arena
199,2020-02-04,WSH,,LAK,W,,Alex Ovechkin,34-140,697,John Carlson,,Jonathan Quick,3,15:00,EV,,Capital One Arena
200,2020-02-04,WSH,,LAK,W,,Alex Ovechkin,34-140,698,John Carlson,,,3,18:14,EV,EN,Capital One Arena
201,2020-01-31,WSH,@,OTT,W,,Alex Ovechkin,34-136,694,Nicklas Bäckström,Tom Wilson,Marcus Högberg,2,10:27,EV,,Canadian Tire Centre
202,2020-01-31,WSH,@,OTT,W,,Alex Ovechkin,34-136,695,John Carlson,,,3,19:45,PP,EN,Canadian Tire Centre
203,2020-01-29,WSH,,NSH,L,,Alex Ovechkin,34-134,693,,,Juuse Saros,1,16:26,EV,,Capital One Arena
204,2020-01-18,WSH,@,NYI,W,,Alex Ovechkin,34-123,690,Nicklas Bäckström,,Semyon Varlamov,1,10:22,EV,,Nassau Veterans Memorial Coliseum
205,2020-01-18,WSH,@,NYI,W,,Alex Ovechkin,34-123,691,John Carlson,,Semyon Varlamov,3,05:18,EV,,Nassau Veterans Memorial Coliseum
206,2020-01-18,WSH,@,NYI,W,,Alex Ovechkin,34-123,692,T.J. Oshie,,,3,19:04,EV,EN,Nassau Veterans Memorial Coliseum
207,2020-01-16,WSH,,NJD,W,,Alex Ovechkin,34-121,688,Nicklas Bäckström,,Louis Domingue,1,19:08,EV,,Capital One Arena
208,2020-01-16,WSH,,NJD,W,,Alex Ovechkin,34-121,689,Tom Wilson,John Carlson,Cory Schneider,3,15:42,EV,,Capital One Arena
209,2020-01-16,WSH,,NJD,W,,Alex Ovechkin,34-121,687,John Carlson,Nicklas Bäckström,Louis Domingue,1,15:17,PP,,Capital One Arena
210,2020-01-13,WSH,,CAR,W,,Alex Ovechkin,34-118,685,Tom Wilson,,Petr Mrázek,1,11:58,EV,,Capital One Arena
211,2020-01-13,WSH,,CAR,W,,Alex Ovechkin,34-118,686,Jakub Vrána,John Carlson,Petr Mrázek,1,17:18,PP,,Capital One Arena
212,2020-01-07,WSH,,OTT,W,,Alex Ovechkin,34-112,683,Dmitry Orlov,Tom Wilson,Craig Anderson,2,17:15,EV,,Capital One Arena
213,2020-01-07,WSH,,OTT,W,,Alex Ovechkin,34-112,684,John Carlson,Tom Wilson,Marcus Högberg,3,16:19,EV,,Capital One Arena
214,2019-12-28,WSH,@,CAR,L,,Alex Ovechkin,34-102,682,Dmitry Orlov,Lars Eller,Petr Mrázek,2,09:56,PP,,PNC Arena
215,2019-12-23,WSH,@,BOS,L,,Alex Ovechkin,34-097,681,Tom Wilson,John Carlson,Tuukka Rask,2,14:35,EV,,TD Garden
216,2019-12-20,WSH,@,NJD,W,,Alex Ovechkin,34-094,680,Nicklas Bäckström,Tom Wilson,Mackenzie Blackwood,1,18:25,EV,,Prudential Center
217,2019-12-09,WSH,,CBJ,L,,Alex Ovechkin,34-083,679,Dmitry Orlov,Nicklas Bäckström,Joonas Korpisalo,3,00:40,EV,,Capital One Arena
218,2019-11-30,WSH,@,DET,W,,Alex Ovechkin,34-074,676,John Carlson,Evgeny Kuznetsov,Jonathan Bernier,2,09:21,EV,,Little Caesars Arena
219,2019-11-30,WSH,@,DET,W,,Alex Ovechkin,34-074,677,T.J. Oshie,Radko Gudas,,3,18:25,EV,EN,Little Caesars Arena
220,2019-11-30,WSH,@,DET,W,,Alex Ovechkin,34-074,678,,,,3,19:05,EV,EN,Little Caesars Arena
221,2019-11-29,WSH,,TBL,W,OT,Alex Ovechkin,34-073,675,Dmitry Orlov,Travis Boyd,Andrei Vasilevskiy,3,11:36,PP,,Capital One Arena
222,2019-11-27,WSH,,FLA,W,,Alex Ovechkin,34-071,674,Evgeny Kuznetsov,,Sergei Bobrovsky,1,17:57,EV,,Capital One Arena
223,2019-11-18,WSH,,ANA,W,,Alex Ovechkin,34-062,673,Evgeny Kuznetsov,John Carlson,John Gibson,2,06:39,PP,,Capital One Arena
224,2019-11-15,WSH,,MTL,L,,Alex Ovechkin,34-059,672,John Carlson,Nicklas Bäckström,Carey Price,3,05:34,PP,,Capital One Arena
225,2019-11-07,WSH,@,FLA,W,OT,Alex Ovechkin,34-051,671,Dmitry Orlov,Nicklas Bäckström,Sergei Bobrovsky,2,12:14,EV,,BB&T Center
226,2019-11-07,WSH,@,FLA,W,OT,Alex Ovechkin,34-051,670,Evgeny Kuznetsov,John Carlson,Sergei Bobrovsky,2,06:13,PP,,BB&T Center
227,2019-10-29,WSH,@,TOR,W,OT,Alex Ovechkin,34-042,668,T.J. Oshie,Nicklas Bäckström,Frederik Andersen,3,04:10,EV,,Scotiabank Arena
228,2019-10-29,WSH,@,TOR,W,OT,Alex Ovechkin,34-042,669,Dmitry Orlov,Jakub Vrána,Frederik Andersen,OT,04:00,PP,,Scotiabank Arena
229,2019-10-24,WSH,@,EDM,L,OT,Alex Ovechkin,34-037,666,Jonas Siegenthaler,John Carlson,Mikko Koskinen,2,06:27,EV,,Rogers Place
230,2019-10-24,WSH,@,EDM,L,OT,Alex Ovechkin,34-037,667,Tom Wilson,Jakub Vrána,Mikko Koskinen,2,13:40,PP,,Rogers Place
231,2019-10-22,WSH,@,CGY,W,,Alex Ovechkin,34-035,665,Nicklas Bäckström,Radko Gudas,Cam Talbot,2,16:35,EV,,Scotiabank Saddledome
232,2019-10-20,WSH,@,CHI,W,,Alex Ovechkin,34-033,664,John Carlson,Michal Kempný,Corey Crawford,3,03:52,EV,,United Center
233,2019-10-14,WSH,,COL,L,,Alex Ovechkin,34-027,663,Evgeny Kuznetsov,John Carlson,Philipp Grubauer,3,17:39,EV,,Capital One Arena
234,2019-10-12,WSH,@,DAL,W,,Alex Ovechkin,34-025,662,Tom Wilson,,,3,19:03,EV,EN,American Airlines Center
235,2019-10-10,WSH,@,NSH,L,,Alex Ovechkin,34-023,660,John Carlson,Evgeny Kuznetsov,Pekka Rinne,2,04:46,PP,,Bridgestone Arena
236,2019-10-10,WSH,@,NSH,L,,Alex Ovechkin,34-023,661,John Carlson,Nicklas Bäckström,Pekka Rinne,2,17:36,PP,,Bridgestone Arena
237,2019-10-02,WSH,@,STL,W,OT,Alex Ovechkin,34-015,659,John Carlson,Lars Eller,Jordan Binnington,1,15:37,EV,,Enterprise Center
238,2019-03-30,WSH,@,TBL,W,,Alex Ovechkin,33-194,657,T.J. Oshie,Nicklas Bäckström,Andrei Vasilevskiy,3,14:35,EV,,Amalie Arena
239,2019-03-30,WSH,@,TBL,W,,Alex Ovechkin,33-194,658,John Carlson,Evgeny Kuznetsov,Andrei Vasilevskiy,3,16:15,PP,,Amalie Arena
240,2019-03-26,WSH,,CAR,W,,Alex Ovechkin,33-190,656,Tom Wilson,Evgeny Kuznetsov,Petr Mrázek,3,04:31,EV,,Capital One Arena
241,2019-03-16,WSH,@,TBL,L,,Alex Ovechkin,33-180,655,Dmitry Orlov,Brett Connolly,Andrei Vasilevskiy,3,12:56,EV,,Amalie Arena
242,2019-03-16,WSH,@,TBL,L,,Alex Ovechkin,33-180,654,T.J. Oshie,John Carlson,Andrei Vasilevskiy,2,07:33,PP,,Amalie Arena
243,2019-03-06,WSH,@,PHI,W,,Alex Ovechkin,33-170,653,Nicklas Bäckström,John Carlson,Brian Elliott,2,02:32,PP,,Wells Fargo Center
244,2019-03-01,WSH,@,NYI,W,,Alex Ovechkin,33-165,652,T.J. Oshie,Evgeny Kuznetsov,Thomas Greiss,3,04:34,PP,,Nassau Veterans Memorial Coliseum
245,2019-02-23,WSH,@,BUF,L,,Alex Ovechkin,33-159,651,Evgeny Kuznetsov,,Carter Hutton,2,02:28,EV,,KeyBank Center
246,2019-02-21,WSH,@,TOR,W,,Alex Ovechkin,33-157,650,John Carlson,T.J. Oshie,Frederik Andersen,2,03:54,PP,,Scotiabank Arena
247,2019-02-18,WSH,@,LAK,W,,Alex Ovechkin,33-154,648,John Carlson,Jakub Vrána,Jack Campbell,1,11:48,PP,,STAPLES Center
248,2019-02-18,WSH,@,LAK,W,,Alex Ovechkin,33-154,649,John Carlson,Nicklas Bäckström,Jack Campbell,2,05:27,PP,,STAPLES Center
249,2019-02-17,WSH,@,ANA,L,,Alex Ovechkin,33-153,647,John Carlson,Jakub Vrána,Ryan Miller,1,04:58,EV,,Honda Center
250,2019-02-14,WSH,@,SJS,W,,Alex Ovechkin,33-150,646,Evgeny Kuznetsov,Tom Wilson,Martin Jones,2,04:14,EV,,SAP Center at San Jose
251,2019-02-11,WSH,,LAK,W,,Alex Ovechkin,33-147,645,Evgeny Kuznetsov,T.J. Oshie,Jonathan Quick,1,03:07,PP,,Capital One Arena
252,2019-01-23,WSH,@,TOR,L,,Alex Ovechkin,33-128,644,T.J. Oshie,Michal Kempný,Frederik Andersen,2,03:51,EV,,Scotiabank Arena
253,2019-01-22,WSH,,SJS,L,OT,Alex Ovechkin,33-127,642,Nicklas Bäckström,T.J. Oshie,Martin Jones,2,05:41,EV,,Capital One Arena
254,2019-01-22,WSH,,SJS,L,OT,Alex Ovechkin,33-127,643,Jakub Vrána,Evgeny Kuznetsov,Martin Jones,3,05:52,EV,,Capital One Arena
255,2019-01-22,WSH,,SJS,L,OT,Alex Ovechkin,33-127,641,Nicklas Bäckström,T.J. Oshie,Martin Jones,1,10:41,PP,,Capital One Arena
256,2019-01-14,WSH,,STL,L,,Alex Ovechkin,33-119,640,Dmitry Orlov,Travis Boyd,Jake Allen,1,07:50,PP,,Capital One Arena
257,2019-01-10,WSH,@,BOS,W,,Alex Ovechkin,33-115,638,Tom Wilson,,Jaroslav Halák,2,14:50,EV,,TD Garden
258,2019-01-10,WSH,@,BOS,W,,Alex Ovechkin,33-115,639,,,,3,18:25,EV,EN,TD Garden
259,2019-01-03,WSH,@,STL,L,,Alex Ovechkin,33-108,637,Michal Kempný,John Carlson,Jake Allen,1,15:34,EV,,Enterprise Center
260,2018-12-15,WSH,,BUF,W,SO,Alex Ovechkin,33-089,636,Nicklas Bäckström,Dmitry Orlov,Carter Hutton,2,13:46,EV,,Capital One Arena
261,2018-12-14,WSH,@,CAR,W,SO,Alex Ovechkin,33-088,633,Jonas Siegenthaler,Nic Dowd,Scott Darling,1,03:56,EV,,PNC Arena
262,2018-12-14,WSH,@,CAR,W,SO,Alex Ovechkin,33-088,634,Nic Dowd,John Carlson,Scott Darling,2,17:25,EV,,PNC Arena
263,2018-12-14,WSH,@,CAR,W,SO,Alex Ovechkin,33-088,635,John Carlson,Nicklas Bäckström,Scott Darling,3,09:49,PP,,PNC Arena
264,2018-12-11,WSH,,DET,W,,Alex Ovechkin,33-085,630,Nicklas Bäckström,Michal Kempný,Jonathan Bernier,1,12:59,EV,,Capital One Arena
265,2018-12-11,WSH,,DET,W,,Alex Ovechkin,33-085,631,John Carlson,Nicklas Bäckström,Jonathan Bernier,2,09:05,EV,,Capital One Arena
266,2018-12-11,WSH,,DET,W,,Alex Ovechkin,33-085,632,Christian Djoos,Nicklas Bäckström,Jimmy Howard,3,09:33,EV,,Capital One Arena
267,2018-12-08,WSH,@,CBJ,W,,Alex Ovechkin,33-082,629,Michal Kempný,John Carlson,Sergei Bobrovsky,1,19:41,EV,,Nationwide Arena
268,2018-12-06,WSH,@,ARI,W,,Alex Ovechkin,33-080,628,Nicklas Bäckström,,,3,19:57,EV,EN,Gila River Arena
269,2018-12-04,WSH,@,VEG,L,,Alex Ovechkin,33-078,627,Brett Connolly,Madison Bowey,Marc-André Fleury,2,11:42,EV,,T-Mobile Arena
270,2018-11-30,WSH,,NJD,W,,Alex Ovechkin,33-074,626,,,,3,18:30,EV,EN,Capital One Arena
271,2018-11-26,WSH,@,NYI,W,,Alex Ovechkin,33-070,625,Tom Wilson,Nicklas Bäckström,,3,19:38,EV,EN,Barclays Center
272,2018-11-24,WSH,@,NYR,W,,Alex Ovechkin,33-068,624,John Carlson,Dmitry Orlov,Alexandar Georgiev,2,19:30,EV,,Madison Square Garden (IV)
273,2018-11-23,WSH,,DET,W,,Alex Ovechkin,33-067,623,Nic Dowd,Tom Wilson,Jonathan Bernier,3,08:34,EV,,Capital One Arena
274,2018-11-19,WSH,@,MTL,W,OT,Alex Ovechkin,33-063,621,Tom Wilson,Dmitry Orlov,Carey Price,1,14:40,EV,,Bell Centre
275,2018-11-19,WSH,@,MTL,W,OT,Alex Ovechkin,33-063,622,John Carlson,Tom Wilson,Carey Price,3,01:02,PP,,Bell Centre
276,2018-11-16,WSH,@,COL,W,OT,Alex Ovechkin,33-060,620,Nicklas Bäckström,Tom Wilson,Philipp Grubauer,2,18:29,EV,,Pepsi Center
277,2018-11-07,WSH,,PIT,W,,Alex Ovechkin,33-051,619,John Carlson,Nicklas Bäckström,Casey DeSmith,2,07:09,PP,,Capital One Arena
278,2018-11-05,WSH,,EDM,W,,Alex Ovechkin,33-049,618,John Carlson,Evgeny Kuznetsov,Cam Talbot,2,13:09,PP,,Capital One Arena
279,2018-11-01,WSH,@,MTL,L,,Alex Ovechkin,33-045,616,Evgeny Kuznetsov,Jakub Vrána,Carey Price,2,06:49,EV,,Bell Centre
280,2018-11-01,WSH,@,MTL,L,,Alex Ovechkin,33-045,617,Dmitry Orlov,Matt Niskanen,Carey Price,2,12:53,EV,,Bell Centre
281,2018-10-22,WSH,@,VAN,W,,Alex Ovechkin,33-035,614,T.J. Oshie,Nicklas Bäckström,Anders Nilsson,2,19:34,EV,,Rogers Arena
282,2018-10-22,WSH,@,VAN,W,,Alex Ovechkin,33-035,615,John Carlson,Nicklas Bäckström,Anders Nilsson,3,05:35,PP,,Rogers Arena
283,2018-10-17,WSH,,NYR,W,OT,Alex Ovechkin,33-030,612,John Carlson,Brett Connolly,Henrik Lundqvist,2,03:32,PP,,Capital One Arena
284,2018-10-17,WSH,,NYR,W,OT,Alex Ovechkin,33-030,613,John Carlson,Nicklas Bäckström,Henrik Lundqvist,2,17:01,PP,,Capital One Arena
285,2018-10-10,WSH,,VEG,W,,Alex Ovechkin,33-023,610,Evgeny Kuznetsov,Brett Connolly,Marc-André Fleury,2,10:18,EV,,Capital One Arena
286,2018-10-10,WSH,,VEG,W,,Alex Ovechkin,33-023,611,Evgeny Kuznetsov,Brett Connolly,Marc-André Fleury,3,10:33,EV,,Capital One Arena
287,2018-10-04,WSH,@,PIT,L,OT,Alex Ovechkin,33-017,609,Christian Djoos,Evgeny Kuznetsov,Matt Murray,1,08:00,EV,,PPG Paints Arena
288,2018-10-03,WSH,,BOS,W,,Alex Ovechkin,33-016,608,Nicklas Bäckström,T.J. Oshie,Tuukka Rask,2,04:17,PP,,Capital One Arena
289,2018-04-07,WSH,,NJD,W,,Alex Ovechkin,32-202,606,Evgeny Kuznetsov,Tom Wilson,Cory Schneider,1,02:21,EV,,Capital One Arena
290,2018-04-07,WSH,,NJD,W,,Alex Ovechkin,32-202,607,,,Cory Schneider,3,05:11,EV,,Capital One Arena
291,2018-04-05,WSH,,NSH,L,,Alex Ovechkin,32-200,605,Evgeny Kuznetsov,John Carlson,Juuse Saros,2,04:29,PP,,Capital One Arena
292,2018-04-02,WSH,@,STL,W,,Alex Ovechkin,32-197,604,Evgeny Kuznetsov,Nicklas Bäckström,,3,18:29,PP,EN,Scottrade Center
293,2018-03-26,WSH,@,NYR,W,,Alex Ovechkin,32-190,603,John Carlson,Nicklas Bäckström,Alexandar Georgiev,1,08:54,PP,,Madison Square Garden (IV)
294,2018-03-20,WSH,,DAL,W,,Alex Ovechkin,32-184,602,John Carlson,T.J. Oshie,Kari Lehtonen,2,13:41,PP,,Capital One Arena
295,2018-03-18,WSH,@,PHI,L,,Alex Ovechkin,32-182,601,Travis Boyd,John Carlson,Petr Mrázek,2,15:08,EV,,Wells Fargo Center
296,2018-03-12,WSH,,WPG,W,OT,Alex Ovechkin,32-176,600,Tom Wilson,Evgeny Kuznetsov,Connor Hellebuyck,2,03:53,EV,,Capital One Arena
297,2018-03-12,WSH,,WPG,W,OT,Alex Ovechkin,32-176,599,John Carlson,Nicklas Bäckström,Connor Hellebuyck,1,04:35,PP,,Capital One Arena
298,2018-03-03,WSH,,TOR,W,,Alex Ovechkin,32-167,598,Tom Wilson,Nicklas Bäckström,Frederik Andersen,1,06:19,EV,,Navy-Marine Corps Memorial Stadium
299,2018-02-26,WSH,@,CBJ,L,,Alex Ovechkin,32-162,597,John Carlson,T.J. Oshie,Sergei Bobrovsky,1,06:57,PP,,Nationwide Arena
300,2018-02-24,WSH,,BUF,W,,Alex Ovechkin,32-160,596,John Carlson,Evgeny Kuznetsov,Robin Lehner,3,18:36,EV,,Capital One Arena
301,2018-02-24,WSH,,BUF,W,,Alex Ovechkin,32-160,595,John Carlson,Evgeny Kuznetsov,Robin Lehner,3,10:13,PP,,Capital One Arena
302,2018-02-20,WSH,,TBL,L,,Alex Ovechkin,32-156,594,Matt Niskanen,,Andrei Vasilevskiy,3,11:02,EV,,Capital One Arena
303,2018-02-19,WSH,@,BUF,W,,Alex Ovechkin,32-155,593,Christian Djoos,John Carlson,Chad Johnson,2,01:18,EV,,KeyBank Center
304,2018-02-15,WSH,@,MIN,W,,Alex Ovechkin,32-151,592,André Burakovsky,,Devan Dubnyk,2,05:51,EV,,Xcel Energy Center
305,2018-02-11,WSH,,DET,L,OT,Alex Ovechkin,32-147,591,John Carlson,Evgeny Kuznetsov,Jimmy Howard,1,04:20,PP,,Capital One Arena
306,2018-02-02,WSH,@,PIT,L,,Alex Ovechkin,32-138,589,Christian Djoos,,Matt Murray,1,18:10,EV,,PPG Paints Arena
307,2018-02-02,WSH,@,PIT,L,,Alex Ovechkin,32-138,590,Evgeny Kuznetsov,Dmitry Orlov,Matt Murray,3,01:50,EV,,PPG Paints Arena
308,2018-01-25,WSH,@,FLA,W,,Alex Ovechkin,32-130,588,Brooks Orpik,Madison Bowey,Harri Säteri,2,07:51,EV,,BB&T Center
309,2018-01-21,WSH,,PHI,L,OT,Alex Ovechkin,32-126,587,John Carlson,T.J. Oshie,Brian Elliott,2,19:44,PP,,Capital One Arena
310,2018-01-12,WSH,@,CAR,W,,Alex Ovechkin,32-117,586,John Carlson,Evgeny Kuznetsov,Cam Ward,2,00:28,EV,,PNC Arena
311,2018-01-07,WSH,,STL,W,OT,Alex Ovechkin,32-112,585,John Carlson,Nicklas Bäckström,Carter Hutton,3,08:00,PP,,Capital One Arena
312,2018-01-02,WSH,@,CAR,W,OT,Alex Ovechkin,32-107,583,Nicklas Bäckström,,Cam Ward,3,12:45,EV,,PNC Arena
313,2018-01-02,WSH,@,CAR,W,OT,Alex Ovechkin,32-107,584,Nicklas Bäckström,,Cam Ward,OT,01:57,EV,,PNC Arena
314,2017-12-28,WSH,,BOS,W,SO,Alex Ovechkin,32-102,582,John Carlson,Evgeny Kuznetsov,Anton Khudobin,2,14:07,PP,,Capital One Arena
315,2017-12-16,WSH,,ANA,W,OT,Alex Ovechkin,32-090,581,John Carlson,,John Gibson,OT,01:58,EV,,Capital One Arena
316,2017-12-14,WSH,@,BOS,W,,Alex Ovechkin,32-088,580,Matt Niskanen,,,3,18:31,EV,EN,TD Garden
317,2017-12-06,WSH,,CHI,W,,Alex Ovechkin,32-080,579,Tom Wilson,Dmitry Orlov,Anton Forsberg,1,15:22,EV,,Capital One Arena
318,2017-12-04,WSH,,SJS,W,,Alex Ovechkin,32-078,578,,,Martin Jones,2,07:11,EV,,Capital One Arena
319,2017-12-02,WSH,,CBJ,W,,Alex Ovechkin,32-076,577,John Carlson,Nicklas Bäckström,Sergei Bobrovsky,2,19:22,PP,,Capital One Arena
320,2017-11-25,WSH,@,TOR,W,,Alex Ovechkin,32-069,574,Nicklas Bäckström,,Curtis McElhinney,1,12:43,EV,,Air Canada Centre
321,2017-11-25,WSH,@,TOR,W,,Alex Ovechkin,32-069,576,T.J. Oshie,Nicklas Bäckström,,3,19:51,EV,EN,Air Canada Centre
322,2017-11-25,WSH,@,TOR,W,,Alex Ovechkin,32-069,575,T.J. Oshie,,Curtis McElhinney,1,19:13,PP,,Air Canada Centre
323,2017-11-24,WSH,,TBL,W,,Alex Ovechkin,32-068,573,Tom Wilson,Nicklas Bäckström,Andrei Vasilevskiy,1,18:36,EV,,Capital One Arena
324,2017-11-22,WSH,,OTT,W,,Alex Ovechkin,32-066,572,Alex Chiasson,Nicklas Bäckström,Craig Anderson,1,19:55,EV,,Capital One Arena
325,2017-11-07,WSH,@,BUF,L,,Alex Ovechkin,32-051,571,Devante Smith-Pelly,,Robin Lehner,2,17:44,EV,,KeyBank Center
326,2017-11-06,WSH,,ARI,W,OT,Alex Ovechkin,32-050,570,John Carlson,Evgeny Kuznetsov,Scott Wedgewood,2,14:23,PP,,Capital One Arena
327,2017-11-04,WSH,@,BOS,W,,Alex Ovechkin,32-048,569,Evgeny Kuznetsov,Dmitry Orlov,Tuukka Rask,1,13:06,EV,,TD Garden
328,2017-10-20,WSH,@,DET,W,OT,Alex Ovechkin,32-033,568,Nicklas Bäckström,John Carlson,Petr Mrázek,OT,01:56,PP,,Little Caesars Arena
329,2017-10-13,WSH,@,NJD,W,,Alex Ovechkin,32-026,567,Nicklas Bäckström,John Carlson,Cory Schneider,2,08:01,PP,,Prudential Center
330,2017-10-11,WSH,,PIT,L,,Alex Ovechkin,32-024,566,Christian Djoos,Nicklas Bäckström,Matt Murray,3,12:51,EV,,Capital One Arena
331,2017-10-07,WSH,,MTL,W,,Alex Ovechkin,32-020,562,Jakub Vrána,Evgeny Kuznetsov,Carey Price,1,00:20,EV,,Capital One Arena
332,2017-10-07,WSH,,MTL,W,,Alex Ovechkin,32-020,564,Evgeny Kuznetsov,,Carey Price,1,18:10,EV,,Capital One Arena
333,2017-10-07,WSH,,MTL,W,,Alex Ovechkin,32-020,565,Evgeny Kuznetsov,John Carlson,Al Montoya,2,16:46,EV,,Capital One Arena
334,2017-10-07,WSH,,MTL,W,,Alex Ovechkin,32-020,563,Evgeny Kuznetsov,Nicklas Bäckström,Carey Price,1,02:51,PP,,Capital One Arena
335,2017-10-05,WSH,@,OTT,W,SO,Alex Ovechkin,32-018,559,Evgeny Kuznetsov,,Craig Anderson,3,04:15,EV,,Canadian Tire Centre
336,2017-10-05,WSH,@,OTT,W,SO,Alex Ovechkin,32-018,560,Evgeny Kuznetsov,Jakub Vrána,Craig Anderson,3,05:38,EV,,Canadian Tire Centre
337,2017-10-05,WSH,@,OTT,W,SO,Alex Ovechkin,32-018,561,Evgeny Kuznetsov,Jakub Vrána,Craig Anderson,3,10:48,EV,,Canadian Tire Centre
338,2017-03-28,WSH,@,MIN,W,OT,Alex Ovechkin,31-192,556,Marcus Johansson,Nicklas Bäckström,Devan Dubnyk,2,07:31,PP,,Xcel Energy Center
